artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
"""Weird Al"" Yankovic",0.176934091,0.664787879,218165.2576,0.685136364,4.63E-05,0.162139394,-9.877909091,0.082392424,132.4950909,0.754409091,33.68181818,9,1,132,"['antiviral pop', 'comedy rock', 'comic', 'parody']",Pop
$NOT,0.547,0.750125,152929.5,0.51975,0.043137138,0.213975,-8.8785,0.276725,114.229125,0.3195,64.625,6,1,8,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",Hip-hop
$uicideBoy$,0.128122623,0.765245902,147549.4426,0.641704918,0.038454471,0.201195082,-6.626918033,0.155917213,119.8043607,0.296095902,61.64754098,1,1,122,"['dark trap', 'new orleans rap', 'underground hip hop']",Hip-hop
'Til Tuesday,0.10555625,0.557125,255213.5,0.61225,0.023300253,0.1275875,-9.638125,0.03215,103.08025,0.532625,35.125,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",EDM
((( O ))),0.847,0.41,311837,0.169,0.00327,0.117,-11.422,0.0485,89.494,0.208,66,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",Pop
(G)I-DLE,0.029966667,0.718,194278,0.764333333,9.40E-07,0.163333333,-3.797333333,0.0552,129.992,0.449666667,74.66666667,4,0,3,"['k-pop', 'k-pop girl group']",Pop
(Hed) P.E.,0.0116314,0.5892,253677.4,0.8792,2.03E-06,0.17112,-5.2598,0.17214,134.9694,0.427,45.8,2,1,10,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",Metal
*NSYNC,0.156757538,0.642051282,237077.5128,0.719320513,0.003624652,0.217423077,-6.030692308,0.067155128,114.6852179,0.615128205,45.79487179,0,1,78,"['boy band', 'dance pop', 'europop', 'pop']",EDM
-,0.466,0.446,316307,0.546,1.54E-05,0.193,-7.022,0.045,125.961,0.376,55,10,0,2,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']",Pop
...And You Will Know Us by the Trail of Dead,0.00841,0.255,273624,0.858,0.000355,0.513,-5.085,0.0694,144.653,0.237,35,7,1,2,"['alternative rock', 'dance-punk', 'indie rock', 'lo-fi', 'modern rock', 'post-hardcore']",EDM
03 Greedo,0.06932,0.7246,220595.2,0.6938,8.00E-07,0.16506,-5.021,0.05074,93.9078,0.4434,59.2,1,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']",Hip-hop
070 Shake,0.375133333,0.68,303688.6667,0.637,2.32E-06,0.124266667,-9.293666667,0.1089,112.6786667,0.345666667,63,4,0,3,"['alternative r&b', 'indie r&b', 'new jersey rap']",Indie
10 Ft. Ganja Plant,0.10835,0.7875,256780,0.7725,0.8465,0.07735,-4.744,0.07285,142.973,0.834,48.5,2,0,4,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']",Rock
10 Years,0.097123238,0.39925,208469.875,0.751625,0.000204069,0.1507375,-5.071875,0.0486125,147.9155,0.318875,47.75,6,1,16,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",Metal
"10,000 Maniacs",0.192295,0.581454545,240081.7273,0.560390909,0.00882584,0.253490909,-12.97718182,0.041177273,118.9730909,0.571772727,36.77272727,9,1,44,"['dance rock', 'folk', 'lilith', 'new wave pop', 'pop rock']",EDM
100 gecs,0.2515,0.6695,120538,0.566,0,0.377,-7.246,0.138,91.691,0.769,63.5,6,1,2,"['art pop', 'escape room', 'hyperpop']",Pop
10cc,0.262604762,0.550952381,293338.5238,0.547047619,0.005951062,0.14787619,-10.77980952,0.061561905,118.9217143,0.534571429,41.19047619,9,1,42,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",EDM
5-Nov,0.27,0.929,182373,0.661,1.52E-06,0.0879,-6.794,0.171,114.973,0.708,37,1,0,2,"['dirty texas rap', 'g funk', 'hyphy', 'west coast trap']",Rap
112,0.158393818,0.666072727,274580.8545,0.520436364,0.000143672,0.143212727,-8.024036364,0.097623636,116.8437636,0.5328,48.32727273,0,1,55,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",EDM
11:11,0.174,0.478,252540,0.555,1.10E-05,0.103,-7.6,0.111,128.728,0.139,57,5,0,2,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",EDM
12 Stones,0.0802665,0.385833333,204280.1667,0.888833333,2.73E-06,0.249233333,-3.887,0.0693,138.6921667,0.450666667,50.33333333,5,1,12,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",Metal
1788-L,0.0739,0.522,172344,0.539,0,0.0664,-5.741,0.0418,95.97,0.139,46,1,0,1,"['brostep', 'edm', 'electro house', 'zapstep']",EDM
1910 Fruitgum Company,0.4185,0.757,140750,0.60525,0.00077785,0.12425,-9.72575,0.044725,128.4975,0.8995,24.75,9,1,8,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']",Pop
1986 Omega Tribe,0.378016667,0.687,266824.3333,0.620833333,0.00429942,0.155566667,-13.05716667,0.032433333,123.0371667,0.805833333,37.33333333,11,0,12,"['future funk', 'japanese city pop']",Pop
1way Frank,0.735,0.783,170867,0.38,1.58E-06,0.158,-8.507,0.0974,99.802,0.84,56,10,0,2,['florida rap'],Rap
2 Brothers On The 4th Floor,0.00328,0.701,263163,0.979,0.308,0.416,-4.861,0.048,134.013,0.612,62,7,0,2,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",EDM
2 Chainz,0.11121449,0.771091837,253278.4082,0.642418367,0.000620847,0.203555102,-6.024755102,0.220565306,125.026398,0.450257143,57.94897959,1,1,98,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip-hop
2 LIVE CREW,0.055277857,0.884095238,229711.7143,0.651857143,0.008597385,0.404295238,-11.54366667,0.200828571,126.1386667,0.621857143,36.23809524,7,1,42,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']",Hip-hop
2 Pistols,0.00431,0.517,274053,0.747,0,0.345,-6.191,0.105,134.058,0.271,52,10,0,1,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']",Hip-hop
2 Unlimited,0.027919167,0.721666667,247916,0.924166667,0.1390149,0.103033333,-11.45816667,0.05975,129.4381667,0.716333333,49,6,1,12,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",EDM
20 Fingers,0.0009065,0.8515,253013,0.82,0.33845,0.11065,-8.8545,0.0541,127.001,0.7765,50,0,1,2,"['eurodance', 'hip house']",EDM
20/20,0.000236,0.458,257733,0.541,0.00183,0.0371,-12.131,0.0485,133.573,0.577,24,2,1,2,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']",Hip-hop
21 Savage,0.123776734,0.791886076,225374.557,0.551607595,0.015091409,0.178807595,-7.411455696,0.284291139,124.419519,0.332216456,66.20253165,1,1,79,"['atl hip hop', 'rap', 'trap']",Hip-hop
22Gz,0.281,0.83,190746,0.574,0,0.124,-6.892,0.701,143.892,0.538,70,11,1,2,['nyc rap'],Rap
24hrs,0.0598,0.5405,197806.5,0.74,0,0.12435,-5.4345,0.18005,117.9925,0.34,67.5,1,1,4,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",Hip-hop
24kGoldn,0.118269412,0.731588235,163177.4118,0.681235294,1.63E-06,0.16,-5.403823529,0.123764706,131.3191176,0.566823529,69.47058824,0,0,17,"['cali rap', 'pop rap']",Pop
27CLUB,0.428,0.514,155893,0.712,8.77E-06,0.112,-7.281,0.334,76.393,0.487,70,2,1,2,['emo rap'],Rap
2Baba,0.0158,0.591,283000,0.602,0,0.278,-7.483,0.386,147.957,0.355,0,1,1,2,"['afro dancehall', 'afropop', 'nigerian hip hop', 'nigerian pop']",EDM
2CELLOS,0.603,0.5865,253046.5,0.499,0.42984,0.149,-8.705,0.04035,122.251,0.6005,58.5,2,1,4,"['bow pop', 'cello', 'classify']",Pop
2NE1,0.00767,0.819,208731,0.844,0.00834,0.056,-3.739,0.038,127.997,0.687,64,0,1,2,"['dance pop', 'k-pop', 'k-pop girl group']",EDM
2Pac,0.131851509,0.77690785,262092.3208,0.708177474,0.007405552,0.224146758,-7.00652901,0.223463481,107.1581638,0.610143345,49.08532423,1,1,293,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Hip-hop
2nd Chapter Of Acts,0.6055,0.433,169067,0.3765,0,0.1148,-11.4885,0.0277,89.173,0.442,28.5,1,1,4,"['christian music', 'deep christian rock']",Rock
2nd II None,0.038204444,0.912222222,225997.1111,0.536111111,1.12E-06,0.255111111,-12.02122222,0.188377778,103.6753333,0.800444444,35.33333333,6,0,9,"['gangster rap', 'west coast rap']",Rap
2nd South Carolina String Band,0.5895,0.5515,345866.5,0.639,8.15E-07,0.2195,-7.9145,0.04625,103.9895,0.6225,39.5,2,1,4,"['string band', 'traditional country']",Country
3 Doors Down,0.038478175,0.503,232900.1091,0.792672727,0.006129951,0.157850909,-5.679090909,0.037990909,128.8442,0.445181818,49.72727273,7,1,55,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",Pop
3 Inches Of Blood,6.40E-05,0.367,271160,0.961,0.00119,0.11,-3.186,0.0807,97,0.237,46,9,0,2,"['canadian metal', 'power metal', 'speed metal', 'vancouver metal', 'vancouver punk']",Metal
311,0.022413531,0.618868852,205666,0.820065574,0.012122383,0.16602459,-7.354754098,0.06582459,132.5737541,0.616206557,40.32786885,9,1,122,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']",Pop
36 Crazyfists,0.00119,0.585,198600,0.931,2.46E-05,0.115,-4.843,0.0847,160.079,0.814,52,0,1,2,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']",Metal
38 Special,0.032874771,0.525155556,256027.8,0.6304,0.025745799,0.125117778,-11.42997778,0.032602222,125.2705556,0.773266667,32.28888889,0,1,90,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",Country
3BallMTY,0.213,0.792,193533,0.916,3.11E-05,0.061,-5.01,0.0685,131.895,0.966,57,9,1,1,"['mexican indie', 'trival']",Indie
3LAU,0.1013,0.5335,201705,0.7705,3.46E-05,0.227,-4.26,0.0566,115.002,0.268,58,3,1,2,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",EDM
3LW,0.0558,0.7178,272055.8,0.7196,2.17E-05,0.15058,-5.9238,0.11084,129.6848,0.6678,49.2,6,0,5,"['girl group', 'hip pop', 'r&b', 'urban contemporary']",Pop
3OH!3,0.020766,0.68375,193600.85,0.7932,4.45E-05,0.31715,-3.92975,0.17853,125.77265,0.54965,53.7,5,1,20,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",EDM
3T,0.349666667,0.669666667,320777.6667,0.435666667,0.000150967,0.330666667,-11.056,0.0342,113.091,0.479333333,45.33333333,10,0,3,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']",Metal
3X Krazy,0.0165,0.719,358467,0.686,0,0.236,-4.169,0.0829,95.19,0.49,47,10,0,2,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']",Rap
3rd Bass,0.099428,0.7996,272712.6,0.6826,8.38E-05,0.14054,-13.5126,0.2478,124.1922,0.5268,30,2,1,10,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']",Hip-hop
3rd Strike,0.0075,0.444,249827,0.859,4.32E-05,0.24,-4.962,0.0484,99.655,0.394,38,2,1,2,"['nu metal', 'rap rock']",Metal
4 Non Blondes,0.18415,0.528666667,239673.3333,0.57,5.10E-07,0.126633333,-10.1005,0.03825,117.8765,0.446166667,48,7,1,12,"['new wave pop', 'pop rock']",Pop
4 P.M.,0.749,0.363,162093,0.388,0,0.363,-8.608,0.034,76.099,0.348,37,11,0,2,"['anime rock', 'vocaloid']",Rock
42 Dugg,0.2332,0.8776,175701,0.565,0,0.09664,-5.2062,0.316,127.2876,0.4086,71,10,0,5,"['detroit trap', 'southern hip hop', 'trap']",Hip-hop
420 Unlovable,0.347,0.954,166635,0.58,1.87E-06,0.134,-8.924,0.367,128.003,0.48,60,7,1,1,['meme rap'],Rap
45 Grave,0.021413,0.438333333,177489,0.763666667,0.23566928,0.1207,-8.350666667,0.075733333,149.7286667,0.557666667,27.66666667,10,0,6,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']",Rock
4B,0.00441,0.63,224052,0.851,0.0218,0.0939,-4.61,0.319,150.054,0.573,54,1,1,1,"['brostep', 'electro house', 'electronic trap']",EDM
4Him,0.282333333,0.476333333,290636.3333,0.487333333,0.001573783,0.111333333,-10.05633333,0.030133333,111.2396667,0.311666667,32.66666667,4,1,6,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']",Rock
4Minute,0.00589,0.54,192400,0.929,4.01E-06,0.424,-2.646,0.278,176.023,0.624,61,7,1,2,"['k-pop', 'k-pop girl group']",Pop
5 Seconds of Summer,0.059827234,0.546755319,197841.2447,0.807755319,1.11E-05,0.177270213,-4.401457447,0.083253191,137.1530957,0.531,61.92553191,2,1,94,"['boy band', 'dance pop', 'pop', 'post-teen pop']",EDM
50 Cent,0.127395868,0.69248503,233712.4551,0.761335329,0.00058395,0.191894012,-4.100712575,0.264173054,105.6604491,0.588700599,52.19760479,1,1,167,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",Hip-hop
504 Boyz,0.011873333,0.823666667,213458.3333,0.652333333,0,0.274666667,-7.742333333,0.265333333,140.0356667,0.459666667,43.66666667,7,1,6,"['dirty south rap', 'pop rap', 'southern hip hop']",Hip-hop
54-40,0.291,0.669,166827,0.645,9.40E-06,0.132,-11.036,0.0305,119.179,0.929,45,0,1,2,"['canadian indie', 'canadian rock']",Indie
5th Ward Boyz,0.158,0.842,352173,0.336,0,0.256,-8.227,0.379,78.001,0.599,36,4,0,1,"['dirty south rap', 'dirty texas rap', 'gangster rap']",Rap
6 Dogs,0.224,0.748,171907,0.66,0.053,0.101,-4.704,0.0487,137.033,0.328,68,6,1,2,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']",Hip-hop
645AR,0.038,0.864,91200,0.613,0,0.123,-6.505,0.781,150.067,0.169,68,2,1,2,['meme rap'],Rap
6LACK,0.321816471,0.636372549,216116.8235,0.509215686,0.002125964,0.119180392,-8.324352941,0.168223529,118.1979804,0.310494118,65.11764706,0,1,51,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']",Hip-hop
6cyclemind,0.443,0.7175,295993,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,0.47,57.5,3,1,4,"['classic opm', 'opm', 'pinoy rock']",Rock
6ix9ine,0.100766667,0.736933333,159113.5333,0.675066667,3.24E-05,0.147386667,-5.502733333,0.234303333,129.4227,0.454633333,69.86666667,1,1,30,['emo rap'],Rap
702,0.197222222,0.74,255970.2222,0.611222222,0.004324127,0.164422222,-8.152,0.065811111,99.07011111,0.59,51.88888889,10,1,9,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",Pop
7eventh Time Down,0.00964,0.58,176616,0.884,1.50E-06,0.116,-4.358,0.0381,105.927,0.464,54,6,1,2,"['ccm', 'christian alternative rock', 'christian hard rock', 'christian music', 'christian rock']",Rock
808 State,0.007925,0.55,287607,0.753,0.5615,0.09715,-12.2185,0.0538,128.4685,0.517,45.5,8,1,4,"['acid house', 'big beat', 'chicago house', 'electro', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']",EDM
88-Keys,0.13795,0.649,195875.5,0.6435,5.35E-07,0.421,-5.637,0.28,122.3495,0.5,54.5,1,1,2,['alternative hip hop'],Hip-hop
88GLAM,0.0166,0.764,180813,0.672,1.06E-06,0.103,-4.274,0.0655,150.021,0.594,74,6,0,2,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",Hip-hop
88rising,0.389328571,0.6,200515.5714,0.530142857,0.000212601,0.175414286,-8.089,0.101042857,119.2835714,0.388857143,67.14285714,7,1,7,"['asian american hip hop', 'pop']",Hip-hop
8Ball,0.068907143,0.7885,280319.1429,0.661928571,0.000557282,0.234214286,-6.577428571,0.191535714,119.9201429,0.538857143,41.57142857,1,1,14,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",Hip-hop
8Ball & MJG,0.046216,0.7446,304293.2667,0.696666667,0,0.244573333,-6.984466667,0.228893333,132.3586667,0.577,39.93333333,11,1,15,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",Hip-hop
93FEETOFSMOKE,0.139,0.816,148140,0.577,0,0.0827,-5.998,0.41,171.028,0.459,68,1,1,1,"['dark trap', 'emo rap', 'underground hip hop']",Hip-hop
98º,0.332033333,0.622722222,250988.1111,0.585444444,3.94E-07,0.116638889,-8.166611111,0.042561111,103.3227778,0.431166667,49.83333333,10,1,18,"['boy band', 'dance pop']",EDM
999,0.030186667,0.596,217075.3333,0.631,0.282667583,0.1723,-9.655333333,0.0489,132.0906667,0.514666667,33.33333333,2,1,6,"['oi', 'pub rock', 'punk']",Rock
9lokknine,0.033133333,0.864333333,181220,0.544,0,0.1746,-8.401333333,0.272666667,90.15666667,0.521,71.33333333,0,0,6,"['florida rap', 'vapor trap']",Rap
9tails,0.404,0.711,217182,0.545,0,0.122,-6.81,0.0322,108.02,0.345,67,11,1,2,['emo rap'],Rap
9th Wonder,0.232,0.685,259060,0.518,0.00075566,0.13955,-8.679,0.228,90.4195,0.5295,49.5,7,1,4,"['alternative hip hop', 'hip hop', 'nc hip hop']",Hip-hop
? & The Mysterians,0.212633636,0.630545455,145557.6364,0.692636364,0.207659863,0.149781818,-8.167636364,0.0419,115.7935455,0.806181818,24.18181818,2,1,22,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",Pop
?uestlove,0.198,0.885,307120,0.598,0,0.384,-6.663,0.372,95.402,0.779,41,6,1,2,['philly rap'],Rap
A,0.000819,0.259,223267,0.899,0,0.512,-5.948,0.0793,176.686,0.379,48,2,1,2,"['dance pop', 'pop', 'post-teen pop']",EDM
A Boogie Wit da Hoodie,0.263017255,0.711480392,192163.4118,0.623303922,1.26E-06,0.161848039,-6.769333333,0.218744118,120.1283431,0.49877451,65.23529412,5,0,102,"['melodic rap', 'pop rap', 'rap', 'trap']",Pop
A Certain Ratio,0.132125,0.695,344633,0.933,0.4573,0.07475,-7.848,0.0631,125.9155,0.582,28.5,2,1,4,"['dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'uk post-punk']",EDM
A Change of Pace,0.0011,0.528,183893,0.946,1.40E-06,0.0655,-4.874,0.0704,133.074,0.718,43,9,1,2,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']",Pop
A Day To Remember,0.025386785,0.400111111,207685.9259,0.918740741,8.73E-05,0.286644444,-4.435851852,0.112564815,144.3046296,0.454703704,53.09259259,0,1,108,"['metalcore', 'pop punk', 'screamo']",Pop
A Fine Frenzy,0.947,0.549,268800,0.24,0,0.106,-7.778,0.0338,119.58,0.167,53,0,1,2,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']",Pop
A Flock Of Seagulls,0.02664142,0.51045,248003.4,0.73685,0.4476905,0.20853,-9.1263,0.037445,145.3544,0.6902,42.5,2,1,40,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",EDM
A Great Big World,0.6258,0.4695,243813.5,0.374625,0.000201442,0.113625,-8.29675,0.043625,119.454125,0.22725,58.25,2,1,8,"['indiecoustica', 'neo mellow', 'piano rock', 'pop rock']",Indie
A Heart Beats,0.854,0.507,146173,0.255,0,0.172,-11.857,0.0651,97.231,0.438,37,7,1,2,"['doo-wop', 'rhythm and blues']",R&B
A Perfect Circle,0.109087908,0.519525424,251080.3898,0.622520339,0.296638305,0.135864407,-9.76320339,0.055608475,124.4771017,0.256277966,49.13559322,6,1,59,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock', 'supergroup']",Metal
A R I Z O N A,0.179569231,0.655076923,190651.3077,0.649,0.054813788,0.117338462,-7.372307692,0.051307692,103.9159231,0.347615385,65.07692308,0,1,13,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']",EDM
A Rocket To The Moon,0.1617,0.374333333,203679.6667,0.687,0,0.147333333,-3.153666667,0.030166667,168.2976667,0.361333333,57.33333333,11,1,6,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']",Pop
A Skylit Drive,0.00121075,0.25275,210366.75,0.9275,0.000350395,0.2539,-3.42325,0.094425,123.785,0.306,44.5,10,1,8,"['metalcore', 'pixie', 'post-screamo', 'screamo']",Metal
A Static Lullaby,3.01E-05,0.555,200240,0.98,4.38E-05,0.0661,-6.063,0.154,143.005,0.37,48,8,1,2,"['melodic metalcore', 'post-hardcore', 'screamo']",Metal
A Thousand Horses,0.0349,0.433,219080,0.776,0.00023,0.387,-5.53,0.029,149.641,0.424,55,7,1,2,"['contemporary country', 'country pop', 'modern country rock']",Country
A Touch Of Class,0.31425,0.6755,181186.5,0.91725,0.033055,0.11875,-6.03175,0.030325,128.456,0.605,64.75,9,0,4,"['bubblegum dance', 'europop']",EDM
A Tribe Called Quest,0.160467397,0.825671233,224595.1507,0.568746575,0.051088349,0.215568493,-9.590739726,0.269931507,97.587,0.696616438,46.06164384,11,1,146,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",Hip-hop
A Tribe Called Red,0.023,0.658,219853,0.573,0.0613,0.0981,-5.408,0.107,133.442,0.583,51,3,0,2,"['canadian indigenous', 'escape room', 'native american hip hop', 'ottawa rap']",Hip-hop
A Winged Victory for the Sullen,0.767,0.0804,266840,0.0836,0.853,0.119,-21.007,0.04,82.14,0.0498,45,11,1,2,"['ambient', 'chamber psych', 'compositional ambient', 'drift', 'drone', 'focus', 'neo-classical', 'post-rock', 'warm drone']",Rock
A$AP ANT,0.10145,0.8305,247553.5,0.614,0,0.30615,-5.6635,0.1577,127.49,0.432,57.5,11,1,2,"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']",Hip-hop
A$AP Ferg,0.1123776,0.76035,214487.225,0.718825,4.48E-06,0.2365225,-5.19415,0.21045,130.258875,0.3902,61.325,1,1,40,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",Hip-hop
A$AP Mob,0.23123,0.7787,239786.2,0.7157,1.65E-06,0.19892,-5.9061,0.25684,127.9901,0.4691,59.3,8,1,10,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",Hip-hop
A$AP NAST,0.143,0.79,229144,0.730666667,0,0.1371,-5.098333333,0.249133333,121.6696667,0.619,55.66666667,11,1,3,['harlem hip hop'],Hip-hop
A$AP Rocky,0.188404321,0.671706422,218011.5963,0.66006422,0.024771392,0.228302752,-7.082477064,0.201289908,126.5779174,0.40220367,62.66055046,1,1,109,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip-hop
A$AP Twelvyy,0.206816667,0.7405,227795,0.709833333,0,0.266883333,-6.400666667,0.2744,128.8426667,0.469166667,55.5,11,1,6,"['hip hop', 'rap', 'underground hip hop']",Hip-hop
A*Teens,0.04309,0.717,202773.6667,0.879,0.009303333,0.257433333,-5.705666667,0.036566667,124.9966667,0.789,44.33333333,4,1,6,"['bubblegum dance', 'dance pop', 'europop']",EDM
A-Mei Chang,0.29,0.542,318333,0.38,0,0.409,-11.702,0.0366,123.971,0.138,51,10,1,2,"['c-pop', 'mandopop']",Pop
A. M. Rajah,0.8835,0.55595,189582.25,0.48975,0.252461624,0.213195,-9.42375,0.109735,130.84785,0.8648,4.4,6,1,20,"['deep indian pop', 'filmi']",Pop
A. R. Qureshi,0.992,0.63325,174145.125,0.3165,0.5655,0.36325,-11.05325,0.180775,140.767125,0.782625,0,8,1,16,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']",Classical
A.CHAL,0.494,0.734,165214,0.472,0.00293,0.102,-8.192,0.306,190.011,0.387,65,1,0,2,['trap soul'],Rap
A.R. Kane,0.119,0.581,308227,0.831,0.00196,0.0497,-10.862,0.0357,117.035,0.857,26,9,0,2,"['dream pop', 'shoegaze']",Pop
A.R. Rahman,0.349903333,0.653666667,335205.5,0.556333333,0.000110102,0.082066667,-10.72966667,0.044666667,119.4456667,0.566833333,57.5,9,1,6,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",Pop
ABBA,0.354483554,0.575636364,234265.7686,0.647973554,0.027731695,0.192939669,-8.497115702,0.036741322,121.8772314,0.667264463,40.81818182,9,1,242,"['europop', 'swedish pop']",Pop
ABN,0.160175,0.75725,300163.25,0.72525,0,0.22275,-6.952,0.19,137.1425,0.54975,41.25,4,0,8,"['dirty south rap', 'gangster rap', 'houston rap']",Rap
ABSRDST,0.0383,0.651,241711,0.793,0.022,0.178,-5.288,0.0837,146.07,0.261,55,5,1,1,['hyperpop'],Pop
AC/DC,0.030241769,0.46912,263588.7333,0.850753333,0.227545577,0.291534,-4.80952,0.07204,128.7065667,0.495099333,48.84,9,1,300,"['album rock', 'australian rock', 'hard rock', 'rock']",Rock
ACOT,0.000319,0.73,169912,0.567,8.54E-06,0.105,-8.085,0.0587,119.997,0.171,64,1,0,2,['meme rap'],Rap
AFI,0.034671297,0.3928,190969.7,0.8801,0.037569924,0.2168,-5.163633333,0.082703333,126.5737,0.4476,42.86666667,4,0,60,"['alternative metal', 'emo', 'modern rock', 'pop punk', 'punk', 'screamo', 'skate punk']",Pop
AJ Mitchell,0.3817,0.604,189474.5,0.526875,2.53E-07,0.0766,-5.99025,0.036775,111.603375,0.331125,73.75,5,1,8,"['pop', 'post-teen pop', 'social media pop']",Pop
AJ Rafael,0.5154,0.68,208678,0.4596,0,0.13936,-6.3206,0.03478,113.7878,0.6424,58.6,7,1,5,"['opm', 'pinoy indie', 'viral pop']",Indie
AJ Tracey,0.0262,0.871,183066,0.87,1.98E-06,0.109,-4.797,0.202,150.147,0.83,62,9,1,1,"['grime', 'uk hip hop', 'ukg revival']",Hip-hop
AJJ,0.209344857,0.508,159988.4286,0.646571429,9.29E-06,0.351442857,-6.921428571,0.076828571,100.1091429,0.732714286,48.57142857,0,1,14,"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']",Indie
AJR,0.213621887,0.599245283,216926.8868,0.647056604,0.000154362,0.168877358,-5.646603774,0.066928302,113.4057925,0.511396226,57.50943396,7,1,53,"['modern rock', 'pop rock']",Pop
